City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Airai,TL,2022-12-18 20:37:25,-8.9266,125.4092,58.75,90,95,1.28
60,San Isidro,PE,2022-12-18 20:37:26,-12.1167,-77.05,74.79,69,20,16.11
61,Kenai,US,2022-12-18 20:37:26,60.5544,-151.2583,12.15,85,0,3.44
62,Kaitangata,NZ,2022-12-18 20:37:27,-46.2817,169.8464,56.79,67,64,5.1
63,Yellowknife,CA,2022-12-18 20:37:01,62.456,-114.3525,-19.68,76,100,4.61
64,Kapaa,US,2022-12-18 20:37:27,22.0752,-159.319,70.12,88,75,5.75
65,Sorland,NO,2022-12-18 20:37:28,67.667,12.6934,35.46,87,100,17.0
66,Saint Anthony,US,2022-12-18 20:37:28,45.0205,-93.218,11.25,73,0,10.36
67,Stettler,CA,2022-12-18 20:37:28,52.3168,-112.7186,-7.26,92,100,8.05
68,Vigrestad,NO,2022-12-18 20:37:29,58.5667,5.7,40.59,77,98,22.39
69,San Carlos De Bariloche,AR,2022-12-18 20:37:29,-41.1456,-71.3082,73.15,16,0,19.57
70,Puerto Ayora,EC,2022-12-18 20:37:29,-0.7393,-90.3518,78.76,88,56,8.01
71,Nikolskoye,RU,2022-12-18 20:37:30,59.7035,30.7861,26.49,93,100,9.78
72,Makakilo City,US,2022-12-18 20:37:30,21.3469,-158.0858,68.32,91,100,8.05
73,Mikhaylovka,RU,2022-12-18 20:37:31,50.06,43.2379,34.79,81,100,11.72
74,Talcher,IN,2022-12-18 20:37:31,20.95,85.2167,56.48,46,53,0.74
75,Avarua,CK,2022-12-18 20:37:31,-21.2078,-159.775,80.65,89,100,10.36
76,Caravelas,BR,2022-12-18 20:37:32,-17.7125,-39.2481,76.24,87,100,6.62
77,Outlook,CA,2022-12-18 20:37:32,51.5001,-107.0513,-0.13,94,100,8.61
78,Carroll,US,2022-12-18 20:37:33,39.5501,-77.0164,39.11,51,98,8.99
79,Hithadhoo,MV,2022-12-18 20:37:33,-0.6,73.0833,81.0,73,54,8.99
80,Udachnyy,RU,2022-12-18 20:37:33,66.4167,112.4,-40.32,100,74,1.48
81,Marquette,US,2022-12-18 20:37:34,46.5333,-87.6335,22.82,79,100,11.03
82,Butaritari,KI,2022-12-18 20:37:34,3.0707,172.7902,81.82,78,13,15.95
83,Ocos,GT,2022-12-18 20:37:34,14.5094,-92.1933,87.98,69,0,6.22
84,Khatanga,RU,2022-12-18 20:37:35,71.9667,102.5,-37.91,100,44,4.74
85,Lompoc,US,2022-12-18 20:37:35,34.6391,-120.4579,66.02,47,0,6.91
86,Nakonde,ZM,2022-12-18 20:37:36,-9.3421,32.745,60.51,94,100,2.04
87,Lebu,CL,2022-12-18 20:37:36,-37.6167,-73.65,61.2,71,51,14.25
88,Burnie,AU,2022-12-18 20:37:36,-41.0667,145.9167,57.94,71,0,2.19
89,Constitucion,CL,2022-12-18 20:38:37,-35.3333,-72.4167,64.58,67,19,16.26
90,Vagur,FO,2022-12-18 20:38:37,61.4732,-6.8119,42.4,86,100,37.07
91,Dalvik,IS,2022-12-18 20:38:38,65.9702,-18.5286,6.73,90,100,10.8
92,Kavaratti,IN,2022-12-18 20:38:38,10.5669,72.642,81.54,73,7,7.34
93,Ribeira Grande,PT,2022-12-18 20:38:38,38.5167,-28.7,63.0,82,40,27.63
94,Thompson,CA,2022-12-18 20:38:39,55.7435,-97.8558,-11.04,70,100,8.05
95,Anadyr,RU,2022-12-18 20:38:39,64.75,177.4833,28.9,80,100,35.79
96,Owando,CG,2022-12-18 20:38:39,-0.4819,15.8999,72.61,85,81,2.33
97,Cascais,PT,2022-12-18 20:38:40,38.6979,-9.4215,63.52,95,100,17.0
98,Porto Novo,BJ,2022-12-18 20:38:40,6.4965,2.6036,82.22,80,44,5.99
99,Pevek,RU,2022-12-18 20:38:40,69.7008,170.3133,25.84,62,95,12.35
100,Manta,EC,2022-12-18 20:38:41,-0.95,-80.7333,76.69,73,100,8.55
101,Launceston,AU,2022-12-18 20:38:41,-41.45,147.1667,52.61,83,2,12.66
102,Lavrentiya,RU,2022-12-18 20:38:42,65.5833,-171.0,11.89,79,20,8.14
103,Hermanus,ZA,2022-12-18 20:38:42,-34.4187,19.2345,67.8,77,99,11.07
104,Beisfjord,NO,2022-12-18 20:38:43,68.3751,17.5988,28.45,84,100,6.46
105,Agirish,RU,2022-12-18 20:38:43,61.9247,63.0231,10.65,94,100,6.44
106,Beyneu,KZ,2022-12-18 20:38:43,45.3167,55.2,33.22,49,0,12.01
107,Yamada,JP,2022-12-18 20:38:44,39.4667,141.95,25.45,68,9,5.5
108,Quatre Cocos,MU,2022-12-18 20:38:44,-20.2078,57.7625,77.11,78,72,14.43
109,Solnechnyy,RU,2022-12-18 20:38:44,50.7214,136.6319,-10.17,97,100,5.55
110,Katsuura,JP,2022-12-18 20:38:45,35.1333,140.3,41.43,61,8,17.25
111,Aba,NG,2022-12-18 20:38:45,5.1066,7.3667,78.04,79,39,6.44
112,Tuktoyaktuk,CA,2022-12-18 20:38:46,69.4541,-133.0374,-18.4,76,20,12.66
113,Margate,GB,2022-12-18 20:38:46,51.3813,1.3862,42.31,95,100,13.0
114,Takoradi,GH,2022-12-18 20:38:46,4.8845,-1.7554,79.9,84,7,8.32
115,Aquiraz,BR,2022-12-18 20:38:47,-3.9014,-38.3911,82.49,72,100,13.31
116,Kalabo,ZM,2022-12-18 20:38:47,-14.97,22.6814,68.86,89,100,5.06
117,Calella,ES,2022-12-18 20:38:48,41.618,2.6678,58.23,87,46,8.68
118,Cockburn Town,TC,2022-12-18 20:38:48,21.4612,-71.1419,80.56,69,40,5.75
