City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
624,Amantea,IT,60.85,clear sky,39.1332,16.0746,Santa Maria
632,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Terra Sur
649,Gainesville,US,55.02,clear sky,29.6516,-82.3248,Hampton Inn & Suites Gainesville-Downtown
655,Houma,US,50.0,moderate rain,29.5958,-90.7195,Courtyard by Marriott Houma
664,Barcelos,PT,61.92,overcast clouds,41.5388,-8.6151,Hotel Dom Nuno
666,Gwadar,PK,67.48,clear sky,25.1216,62.3254,Sadaf Resorts
667,Qena,EG,63.73,broken clouds,26.1615,32.7183,Basma Hotel
670,Ulladulla,AU,65.32,few clouds,-35.35,150.4667,Hotel Marlin
672,Antofagasta,CL,67.28,few clouds,-23.65,-70.4,Hotel Colón
674,Rockport,US,50.04,overcast clouds,28.0206,-97.0544,Holiday Inn Express & Suites
679,Arrifes,PT,62.24,scattered clouds,37.7667,-25.7,S. Miguel Park Hotel
681,Porto Belo,BR,69.75,overcast clouds,-27.1578,-48.5531,Residencial Maravilha
682,Puerto Madryn,AR,65.07,light rain,-42.7692,-65.0385,Hotel Gran Palace
683,Hastings,GB,55.8,overcast clouds,50.8552,0.5729,White Rock Hotel
